0.000000, 0.000000, 0.000000, 3.000000
-0.000000, -0.006000, 0.057000, -3.000000
-0.000000, 0.006000, -0.057000, 6.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, 0.006000, -0.057000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
-0.000000, 0.006000, -0.057000, 0.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, -0.006000, 0.057000, 3.000000
-0.000000, 0.006000, -0.057000, -3.000000
0.000000, 0.000000, 0.000000, -3.000000
-0.000000, -0.006000, 0.057000, 0.000000
-0.000000, 0.006000, -0.057000, 0.000000
-0.000000, 0.006000, -0.057000, 3.000000
0.000000, 0.000000, 0.000000, -3.000000
-0.000000, 0.006000, -0.057000, -3.000000
-0.000000, 0.006000, -0.057000, -3.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -3.000000
-0.000000, 0.006000, -0.057000, -3.000000
0.000000, 0.000000, 0.000000, 3.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
-0.000000, 0.006000, -0.057000, -3.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -3.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, 0.006000, -0.057000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
-0.000000, 0.006000, -0.057000, 0.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, -0.006000, 0.057000, 3.000000
-0.000000, 0.006000, -0.057000, -3.000000
0.000000, 0.000000, 0.000000, -3.000000
-0.000000, -0.006000, 0.057000, 0.000000
-0.000000, 0.006000, -0.057000, 0.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, 0.006000, -0.057000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
-0.000000, 0.006000, -0.057000, 0.000000
-0.000000, 0.006000, -0.057000, 3.000000
-0.000000, -0.006000, 0.057000, 3.000000
-0.000000, 0.006000, -0.057000, -3.000000
0.000000, 0.000000, 0.000000, -3.000000
-0.000000, -0.006000, 0.057000, 0.000000
-0.000000, 0.006000, -0.057000, 0.000000
0.000000, -0.007000, 0.000000, -681.000000
0.000000, -0.173000, 0.000000, -1041.000000
0.000000, -0.210000, -0.057000, -1062.500000
0.000000, -0.274000, 0.000000, -1207.500000
0.000000, -0.331000, 0.000000, -1207.000000
0.000000, -0.389000, 0.000000, -1262.500000
0.000000, -0.416000, 0.115000, -1278.500000
-0.001000, -0.530000, 0.630000, -1417.000000
-0.001000, -0.564000, 0.745000, -1389.000000
-0.004000, -0.691000, 1.318000, -1503.000000
-0.008000, -0.832000, 1.948000, -1527.500000
-0.015000, -1.017000, 2.922000, -1533.500000
-0.026000, -1.197000, 3.782000, -1706.000000
-0.050000, -1.504000, 5.157000, -1863.500000
-0.070000, -1.713000, 5.959000, -1903.500000
-0.115000, -2.086000, 7.620000, -2097.500000
-0.161000, -2.408000, 8.824000, -2193.000000
-0.227000, -2.802000, 10.371000, -2205.000000
-0.326000, -3.299000, 11.918000, -2100.500000
-0.400000, -3.636000, 12.834000, -2091.000000
-0.518000, -4.138000, 13.465000, -2103.500000
-0.617000, -4.546000, 13.751000, -2103.500000
-0.728000, -4.998000, 13.866000, -2088.500000
-0.820000, -5.370000, 13.808000, -2110.000000
-0.945000, -5.880000, 13.808000, -2100.500000
-1.029000, -6.223000, 13.808000, -2217.500000
-1.146000, -6.692000, 14.152000, -2143.500000
-1.253000, -7.111000, 14.553000, -2180.500000
-1.368000, -7.546000, 15.241000, -2239.500000
-1.473000, -7.921000, 16.043000, -2242.000000
-1.635000, -8.462000, 17.189000, -2131.500000
-1.757000, -8.843000, 18.220000, -2261.000000
-1.961000, -9.437000, 19.824000, -2239.500000
-2.120000, -9.864000, 21.028000, -2251.500000
-2.335000, -10.403000, 22.517000, -2159.000000
-2.554000, -10.916000, 23.606000, -2159.000000
-2.876000, -11.634000, 24.752000, -2113.000000
-3.071000, -12.054000, 25.096000, -2115.500000
-3.257000, -12.448000, 25.267000, -2116.000000
-3.472000, -12.902000, 25.382000, -2116.000000
-3.660000, -13.298000, 25.439000, -2107.000000
-3.842000, -13.683000, 25.382000, -2110.000000
-4.049000, -14.118000, 25.382000, -2103.500000
-4.222000, -14.483000, 25.382000, -2103.500000
-4.466000, -14.995000, 25.439000, -2103.500000
-4.617000, -15.313000, 25.497000, -2110.000000
-4.859000, -15.819000, 25.554000, -2100.500000
-5.023000, -16.164000, 25.497000, -2103.500000
-5.231000, -16.600000, 25.497000, -2110.000000
-5.427000, -17.010000, 25.439000, -2230.000000
-5.670000, -17.527000, 24.809000, -2217.500000
-5.857000, -17.939000, 24.064000, -2245.500000
-6.060000, -18.406000, 22.861000, -2242.000000
-6.239000, -18.843000, 21.715000, -2245.500000
-6.436000, -19.358000, 20.168000, -500.000000
-6.564000, -19.717000, 18.908000, -500.000000
-6.736000, -20.244000, 17.131000, -500.000000
-6.844000, -20.614000, 15.584000, -500.000000
-6.957000, -21.037000, 14.381000, -500.000000
-7.065000, -21.465000, 13.808000, -500.000000
-7.184000, -21.961000, 13.407000, -500.000000
-7.260000, -22.279000, 13.293000, -500.000000
-7.367000, -22.735000, 13.235000, -500.000000
-7.442000, -23.053000, 13.063000, -500.000000
